* Measurement data measured by REW V5.20.13
* Source: Umik-1  Gain: 18dB  , MICROPHONE, L, volume: 0.318. Timing signal peak level 0.0 dBFS, measurement signal peak level zero
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Aug 1, 2026 4:07:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ZMF Blackwood right
* Measurement: Blackwood R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
203.247070 103.220 -36.4250
203.613281 103.176 -36.1394
203.979492 103.167 -35.8716
204.345703 103.182 -35.7438
204.711914 103.206 -35.8100
205.078125 103.222 -36.0510
205.444336 103.219 -36.4022
205.810547 103.193 -36.7859
206.176758 103.146 -37.1331
206.542969 103.081 -37.3893
206.909180 103.006 -37.5148
207.275391 102.929 -37.4893
207.641602 102.860 -37.3223
208.007812 102.809 -37.0608
208.374023 102.779 -36.7845
208.740234 102.769 -36.5835
209.106445 102.768 -36.5262
209.472656 102.761 -36.6339
209.838867 102.734 -36.8712
210.205078 102.678 -37.1548
210.571289 102.595 -37.3805
210.937500 102.493 -37.4603
211.303711 102.390 -37.3629
211.669922 102.303 -37.1321
212.036133 102.238 -36.8668
212.402344 102.192 -36.6635
212.768555 102.153 -36.5613
213.134766 102.113 -36.5305
213.500977 102.069 -36.5140
213.867188 102.030 -36.4851
214.233398 101.998 -36.4724
214.599609 101.974 -36.5262
214.965820 101.946 -36.6561
215.332031 101.905 -36.8030
215.698242 101.855 -36.8782
216.064453 101.809 -36.8427
216.430664 101.778 -36.7529
216.796875 101.761 -36.7183
217.163086 101.741 -36.7941
217.529297 101.700 -36.9108
217.895508 101.636 -36.9138
218.261719 101.568 -36.6930
218.627930 101.525 -36.2999
218.994141 101.517 -35.9333
219.360352 101.525 -35.7772
219.726562 101.514 -35.8345
220.092773 101.464 -35.9153
220.458984 101.388 -35.7938
220.825195 101.324 -35.4138
221.191406 101.305 -34.9734
221.557617 101.321 -34.7761
221.923828 101.329 -34.9618
222.290039 101.281 -35.3665
222.656250 101.167 -35.6248
223.022461 101.025 -35.4241
223.388672 100.922 -34.7544
223.754883 100.903 -33.9626
224.121094 100.953 -33.5016
224.487305 101.012 -33.5783
224.853516 101.021 -34.0303
225.219727 100.959 -34.4745
225.585938 100.852 -34.5630
225.952148 100.756 -34.1938
226.318359 100.718 -33.5697
226.684570 100.745 -33.0468
227.050781 100.803 -32.8804
227.416992 100.845 -33.0789
227.783203 100.838 -33.4445
228.149414 100.779 -33.7136
228.515625 100.694 -33.7006
228.881836 100.616 -33.3832
229.248047 100.570 -32.8976
229.614258 100.556 -32.4358
